1 Gou 1ごう
2 Gou 2ごう
3 Gou 3ごう
4 Gou 4ごう
7 Gou 7ごう
Acerola アセロラ
Nikoban ニコバン
Nile ナイル
Nindori ニンドリ
Nisshī ニッシー
Nobuo ノブオ
Noribou のりぼう
Norimaki のりまき
Norio のりお
Norippe のりっぺ
Norman ノルマン
Nēya ネーヤ
Octarou おくたろう
Okappi オカッピ
Oliver オリバー
Olivia オリビア
Opal オパール
Osai おさい
Osmond オズモンド
Otomatsu オトマツ
Panta パンタ
Paolo パオロ
Parsley パセリ
Patch パッチ
Patra パトラ
Patricia パトリシア
Pattaya パタヤ
Patty パティ
Paula ポーラ
Pechika ペチカ
Penta ペンタ
Perrine ペリーヌ
Peshimichi ぺしみち
Peter ペーター
Petunia ペチュニア
Piccolo ピッコロ
Pidan ピータン
Piece ピース
Pierre ピエル
Pin ピン
Pironkon ピロンコン
Piroshi ピロシ
Pistachio ピスタチオ
Pittier ピティエ
Poko ポコ
Poncho ポンチョ
Pork ポーク
Punks パンクス
Pusuke プースケ
Pāchiku パーチク
Pīchiku ピーチク
Quattro クワトロ
Rachel レイチェル
Rainy レイニー
Rakkyo らっきょ
Ramune ラムネ
Ran ラン
Rebecca レベッカ
Reiko レイコ
Rem レム
Rennyuu れんにゅう
Rhianna リアーナ
Ricardo リカルド
Richard リチャード
Rick リック
Ricky リッキー
Rilla リラ
Robin ロビン
Rocky ロッキー
Rodeo ロデオ
S'il Vous Plaît シルブプレ
Sablé サブレ
Sabrina サブリナ
Sakurajima さくらじま
Sally サリー
Sam サム
Santos サントス
Sarah サラ
Sarumonti サルモンティ
Saruo さるお
Sasuke さすけ
Satchi さっち
Savannah サバンナ
Schwartz シュバルツ
Sebastian セバスチャン
Shanti シャンティ
Sherry シェリー
Shimofuri しもふり
Shimoyake しもやけ
Shinabiru シナビル
Shinobu しのぶ
Shoui ショーイ
Shoukichi しょうきち
Siberia シベリア
Silhouette シルエット
Sleep スリープ
Spark スパーク
Squat スクワット
St. Arrow セントアロー
Straw ストロー
Strawberry ストロベリー
Sumi スミ
Sumidakun スミダクン
Sumimomo スミモモ
Sunairu スナイル
Sunday サンデー
Sunny サニー
Swanson スワンソン
Sydney シドニー
Sylvia シルビア
Taiheita たいへいた
Taishi タイシ
Takeru タケル
Takkun タックン
Takorīna タコリーナ
Takoya タコヤ
Takuan たくあん
Takyu タキュ
Tama たま
Tameko ためこ
Tamotsu たもつ
Tanbo タンボ
Tantan タンタン
Tarou タロウ
Tatsuo タツオ
Tatsuta タツタ
Teacher ティーチャ―
Tetchan テッチャン
Thomson トムソン
Tiffany ティファニー
Tina ティーナ
Tobio トビオ
Toby トビー
Tokio トキオ
Tome とめ
Tomi トミ
Tonfan トンファン
Tonko トンコ
Torako トラこ
Trois トロワ
Tsubakuro ツバクロ
Tsukasa つかさ
Tundra ツンドラ
Uzumaki うずまき
Uzume ウズメ
Vanessa ヴァネッサ
Vanilla バニラ
Vayasikov ヴァヤシコフ
Verdun ベルダン
Vinegar ビネガー
Vis ビス
Waiha ワイハ
Wendy ウェンディ
Whip ホイップ
Wolf Link ウルフリンク
XL エックスエル
Yamato ヤマト
Yasao やさお
Yayoi やよい
Yodel ヨーデル
Yuki ユキ
Yukimi ゆきみ
Yumeko ユメコ
Yūkari ユーカリ
Zinho ジーニョ
Éclair エクレア
Étoile エトワール
Āshindo アーシンド
